"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
2893030302865
2893030303106
2893030304286
2893030304654
2893030305333
2893030308416
2893030309587
2893030312931
2893030313012
2893030313463
289303031368
2893030313836
2893030315119
2893032508757
2893034931795
289305926639
289308110104
289308676464
289310602203
289311006550
289314000568
289314304858
289314401086
289314506707
289314604268
289314606245
289314806613
289315106631
289326301392
289326303176
289326306000
289330305999
289330309587
289330312850
289330317504
2894004721235
2895013013123
2895013019160
2895013021735
2895013227184
2895013229427
2895013304116
2895013307054
2895013317936
2895013418039
2895013424884
2895013424999
2895013425270
2895013425711
2895013426310
2895013426377
2895013431479
2895013431875
2895013614690
2895013616049
2895013617360
2895013617466
2895013622342
2895013622543
2895013701413
2895013706427
2895013808407
2895013812930
2895013913714
2895013915864
2895013917443
2895013918180
2895013918260
2895014015500
2895014017318
2895014028396
2895014117676
2895014208229
2895014217583
2895014530082
2895014610410
2895014702309
2895015103516
2895015307340
2895016921422
2895017038901
2895017236536
2895017337764
2895017603151
2895018529010
2895020312860
2895022022776
2895022926131
2895023003512
2895023139004
2895023236763
2895023610267
2895024431040
2895025406273
2895027534539
2895027618915
2895027727755
2895028604159
2895029300962
2895030023422
2895030819716
2895031103453
2895031710174
2895031800369
2895032028722
2895032508628
2895032511803
2895035201084
2895035604249
2895038723316
2895038734712
2895038915825
2895040021774
2895041220169
2895041321286
2895041528132
2895042404221
2895043221167
2895043302691
2895044529590
2895046602784
2895046915411
2895048733324
2895049017631
289513020970
289513123049
289513519062
289513620086
289514203789
289514217801
289514225527
289515815850
289517909193
289526
289526535507
289533014075
289533420207
289535734103
289535905840
289539027152
289540213732
289543822929
289544537758
28964
28968
2897000227906
2897000300005
2897000417944
2897000427882
2897001066669
2897001242508
2897001766342
2897001842181
2897002043211
2897002678205
2897004553725
2897004666049
2897004929249
2897007605332
289700787876
2897008042167
2897008932985
2897009010006
2897010100471
2897010104379
2897010200823
2897010201686
2897010203252
2897010302175
2897010402139
2897010500273
2897010500395
2897010503629
2897010600517
2897010701730
2897010703419
2897010704154
2897010704857
2897010801654
2897010801930
2897010804738
2897010805926
2897010806240
2897010960328
2897011002307
2897011003540
2897011003591
2897011004044
2897011004698
2897011005053
2897011031257
2897011060824
2897011207053
2897011208394
2897011208845
2897011209177
2897011327238
2897011328585
2897011328704
2897011424336
2897011426104
2897011460627
2897011671006
2897011700448
2897011700704
2897011800170
2897011800436
289701520421
2897017200390
289701861038
2897018809540
2897020361592
2897020445660
2897020607302
2897020645334
2897020707961
2897022863042
2897023964319
2897025465023
2897030869597
2897031332282
2897031341716
2897031348975
2897031403553
2897032041895
2897032060302
2897032537991
2897032765344
289703345560
2897033474034
2897033534875
2897036241644
2897036801710
2897036810335
2897037131390
2897037816508
2897038002687
2897038112943
2897038167041
2897038459475
2897038580540
2897038801189
2897038834866
2897039366937
2897039668694
2897039728433
2897039950623
2897040115015
2897041500042
2897044233816
2897044302705
2897044978057
2897045868629
2897045917471
2897046810446
2897048047199
2897048050427
2897048148304
2897048156808
2897049651638
2897049859345
289707030373
289707579958
289707926199
289710202946
289710500395
289710503629
289711003540
289711004915
289711061035
289711102681
289711408665
289711700431
289716405169
289716588005
289718039441
289718350706
289719601053
289720138634
289730958639
289731943044
289732055605
289732124258
289736938307
289738115202
289738505285
289740253218
289748066569
289748085240
289759476
28978
289882496
2899000202802
2899000203070
2899000203342
2899000400620
2899000401930
2899000401989
2899000401998
2899000502487
2899000601975
2899000702050
2899000720367
2899000802351
2899000802861
2899000804361
2899000804943
2899000805484
2899000805506
2899000806478
2899000902451
2899000902660
2899000902873
2899001002020
2899001002699
2899001002711
2899001003301
2899001003499
2899001003624
2899001003974
2899001007211
2899001500468
2899001501782
2899001502549
2899001507088
2899001527018
2899001711883
2899001714753
2899001803207
2899001804789
2899001807563
2899001807669
2899001809051
2899001920085
2899001935530
2899002001971
2899002002358
2899002003672
2899002004368
2899002004681
2899002108671
2899002109414
2899002113962
2899002115647
2899002116214
2899002118617
2899002120953
2899002121581
2899002124191
2899002124672
2899002125958
2899002126634
2899002127063
2899002127098
2899002210884
2899002215642
2899002217321
2899002218050
2899002218905
2899002220796
2899002220933
2899002221560
2899002221625
2899002222789
2899002230417
2899002303303
2899002305944
2899002313410
2899002313865
2899002315479
2899002316053
2899002319975
2899002320563
2899002320685
2899002320716
2899002321443
2899002322380
2899002322573
2899002323922
2899002324470
2899002408561
2899002410357
2899002411052
2899002416187
2899002416196
2899002417387
2899002417772
2899002419988
2899002420699
2899002421448
2899002422030
2899002513004
2899002515449
2899002515983
2899002517968
2899002518880
2899002518929
28990025209
2899002520923
2899002713671
2899002715054
2899002715214
2899002800252
2899002801052
2899002801956
2899002802246
2899002804432
2899002805072
2899002807008
2899002807505
2899002807748
2899002809718
2899002810192
2899002810376
2899002810415
2899002811432
2899003003534
2899003003794
2899003004894
2899003112986
2899003120218
2899003120555
2899003121556
2899003123260
2899003124366
2899003124488
2899003127502
2899003127673
2899003128545
2899003129902
2899003131316
2899003206023
2899003216636
2899003216732
2899003218284
2899003218766
2899003220414
2899003220535
2899003221183
2899003221206
2899003222625
2899003222685
2899003223048
2899003402347
2899003402904
2899003405497
2899003800581
2899003802149
2899003804271
2899003804480
2899003805014
2899003805432
2899003805578
2899003808346
2899003808397
2899003903889
2899003903985
2899004003332
2899004100358
2899004101213
2899004102940
2899004200144
2899004202410
2899004304552
2899004501273
2899004510017
2899004614073
2899004615724
2899004616251
2899004616604
2899004710209
2899004711218
2899004800477
2899004802420
2899004803340
2899004804455
2899004901342
2899004901712
2899004901966
2899004902310
2899004902609
2899005900340
2899005901297
2899005901300
2899005901703
2899005902289
2899005929683
2899006002200
2899006003188
2899006003410
2899006004833
2899006004874
2899006004905
2899006004997
2899006006656
2899006006869
2899006007606
2899006008342
2899006009098
2899006105127
2899006109629
2899006113618
2899006119204
2899006119497
2899006202266
2899006204709
2899006205068
2899006205767
2899006206220
2899006208061
2899006208501
2899006309313
2899006309346
2899006309856
2899006310559
2899006311607
2899006311965
2899006313449
2899006315780
2899006315943
2899006316402
2899006316564
2899006316599
2899006406533
2899006409246
2899006410483
2899006411643
2899006411773
2899006502887
2899006507629
2899006508558
2899006508859
2899006509173
2899006603867
2899006605191
2899006607214
2899006609772
2899006612843
2899006613464
2899006616138
2899006616161
2899006617379
2899006618599
2899006618824
2899006618987
2899006620045
2899006620680
2899006621761
2899006709094
2899006709613
2899006710432
2899006710490
2899006710658
2899006711417
2899006802890
2899006803718
2899006804875
2899006805108
2899006805309
2899006805710
2899006806690
2899006806844
2899006807182
2899006807246
2899006807297
2899006904127
2899006904625
2899006906234
2899006906547
2899007000135
2899007000788
2899007002756
2899007002898
2899007100725
2899007101403
2899007301018
2899007400568
2899007500567
2899007501079
2899007600977
2899007702760
289900800326
289900804418
289900805530
2899008200924
2899008301610
2899008302580
2899008302678
2899008401406
2899008402159
2899008402844
2899008403586
2899008404143
2899008600993
2899008601320
289900903524
2899010002157
2899010002212
289901003301
2899010900310
2899011001532
2899011002793
2899011002963
2899011901098
2899011901168
2899012000807
2899012000856
2899012001920
2899012002307
2899012002452
2899012002718
2899012002954
2899012003148
2899012200379
2899012205647
2899012207981
2899012221576
2899012304408
2899012402986
2899012502505
2899012602340
2899012602827
2899012700100
2899012700499
2899012700837
2899012800034
2899012800599
289901302143
2899013100357
2899013201129
2899013201274
2899013501967
2899013800153
2899014100997
2899014300105
2899014300219
2899014300276
2899014300293
2899014401022
